hetionet_gene_id	hetionet_entrez_id	hetionet_name	current_entrez_id	current_hgnc_symbol	original_ensembl_id	gene_type	all_samples_zero	mapping_status
Gene::7105	7105	TSPAN6	7105	TSPAN6	ENSG00000000003.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::64102	64102	TNMD	64102	TNMD	ENSG00000000005.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::8813	8813	DPM1	8813	DPM1	ENSG00000000419.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::57147	57147	SCYL3	57147	SCYL3	ENSG00000000457.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::55732	55732	C1orf112	55732	FIRRM	ENSG00000000460.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::2268	2268	FGR	2268	FGR	ENSG00000000938.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::3075	3075	CFH	3075	CFH	ENSG00000000971.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::2519	2519	FUCA2	2519	FUCA2	ENSG00000001036.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::2729	2729	GCLC	2729	GCLC	ENSG00000001084.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::4800	4800	NFYA	4800	NFYA	ENSG00000001167.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::90529	90529	STPG1	90529	STPG1	ENSG00000001460.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::57185	57185	NIPAL3	57185	NIPAL3	ENSG00000001461.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::81887	81887	LAS1L	81887	LAS1L	ENSG00000001497.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::22875	22875	ENPP4	22875	ENPP4	ENSG00000001561.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::6405	6405	SEMA3F	6405	SEMA3F	ENSG00000001617.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::1080	1080	CFTR	1080	CFTR	ENSG00000001626.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::54467	54467	ANKIB1	54467	ANKIB1	ENSG00000001629.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::1595	1595	CYP51A1	1595	CYP51A1	ENSG00000001630.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::889	889	KRIT1	889	KRIT1	ENSG00000001631.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::5893	5893	RAD52	5893	RAD52	ENSG00000002016.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::572	572	BAD	572	BAD	ENSG00000002330.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::51056	51056	LAP3	51056	LAP3	ENSG00000002549.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::4267	4267	CD99	4267	CD99	ENSG00000002586.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::9957	9957	HS3ST1	9957	HS3ST1	ENSG00000002587.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::26	26	AOC1	26	AOC1	ENSG00000002726.21	protein_coding	False	mapped_by_hgnc_entrez
Gene::51384	51384	WNT16	51384	WNT16	ENSG00000002745.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::23072	23072	HECW1	23072	HECW1	ENSG00000002746.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::8379	8379	MAD1L1	8379	MAD1L1	ENSG00000002822.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::3927	3927	LASP1	3927	LASP1	ENSG00000002834.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::29916	29916	SNX11	29916	SNX11	ENSG00000002919.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::55365	55365	TMEM176A	55365	TMEM176A	ENSG00000002933.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::4074	4074	M6PR	4074	M6PR	ENSG00000003056.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::90293	90293	KLHL13	90293	KLHL13	ENSG00000003096.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::56603	56603	CYP26B1	56603	CYP26B1	ENSG00000003137.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::3382	3382	ICA1	3382	ICA1	ENSG00000003147.19	protein_coding	False	mapped_by_hgnc_entrez
Gene::79007	79007	DBNDD1	79007	DBNDD1	ENSG00000003249.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::57679	57679	ALS2	57679	ALS2	ENSG00000003393.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::843	843	CASP10	843	CASP10	ENSG00000003400.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::8837	8837	CFLAR	8837	CFLAR	ENSG00000003402.20	protein_coding	False	mapped_by_hgnc_entrez
Gene::7035	7035	TFPI	7035	TFPI	ENSG00000003436.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::55471	55471	NDUFAF7	55471	NDUFAF7	ENSG00000003509.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::10181	10181	RBM5	10181	RBM5	ENSG00000003756.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::9108	9108	MTMR7	9108	MTMR7	ENSG00000003987.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::6542	6542	SLC7A2	6542	SLC7A2	ENSG00000003989.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::381	381	ARF5	381	ARF5	ENSG00000004059.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::23098	23098	SARM1	23098	SARM1	ENSG00000004139.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::26073	26073	POLDIP2	26073	POLDIP2	ENSG00000004142.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::23129	23129	PLXND1	23129	PLXND1	ENSG00000004399.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::204	204	AK2	204	AK2	ENSG00000004455.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::952	952	CD38	952	CD38	ENSG00000004468.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::2288	2288	FKBP4	2288	FKBP4	ENSG00000004478.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::23028	23028	KDM1A	23028	KDM1A	ENSG00000004487.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::10180	10180	RBM6	10180	RBM6	ENSG00000004534.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::84254	84254	CAMKK1	84254	CAMKK1	ENSG00000004660.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::5965	5965	RECQL	5965	RECQL	ENSG00000004700.16	protein_coding	False	mapped_by_hgnc_entrez
Gene::55610	55610	CCDC132	55610	VPS50	ENSG00000004766.17	protein_coding	False	mapped_by_hgnc_entrez
Gene::126393	126393	HSPB6	126393	HSPB6	ENSG00000004776.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::115703	115703	ARHGAP33	115703	ARHGAP33	ENSG00000004777.18	protein_coding	False	mapped_by_hgnc_entrez
Gene::4706	4706	NDUFAB1	4706	NDUFAB1	ENSG00000004779.10	protein_coding	False	mapped_by_hgnc_entrez
