hetionet_gene_id	entrez_id	hetionet_name	current_hgnc_symbol	reason
Gene::100049579	100049579	OCTN3		entrez_not_in_current_hgnc
Gene::100101629	100101629	GAGE8	GAGE8	no_kirc_feature_for_this_gene
Gene::100127889	100127889	C10orf131		entrez_not_in_current_hgnc
Gene::100127971	100127971	LOC100127971		entrez_not_in_current_hgnc
Gene::100127991	100127991	LOC100127991		entrez_not_in_current_hgnc
Gene::100128001	100128001	LOC100128001		entrez_not_in_current_hgnc
Gene::100128088	100128088	LOC100128088		entrez_not_in_current_hgnc
Gene::100128107	100128107	LOC100128107		entrez_not_in_current_hgnc
Gene::100128124	100128124	HGC6.3		entrez_not_in_current_hgnc
Gene::100128160	100128160	LOC100128160		entrez_not_in_current_hgnc
Gene::100128170	100128170	LOC100128170		entrez_not_in_current_hgnc
Gene::100128184	100128184	LOC100128184		entrez_not_in_current_hgnc
Gene::100128198	100128198	LOC100128198		entrez_not_in_current_hgnc
Gene::100128265	100128265	LOC100128265		entrez_not_in_current_hgnc
Gene::100128274	100128274	LOC100128274		entrez_not_in_current_hgnc
Gene::100128320	100128320	LOC100128320		entrez_not_in_current_hgnc
Gene::100128348	100128348	LOC100128348		entrez_not_in_current_hgnc
Gene::100128402	100128402	LOC100128402		entrez_not_in_current_hgnc
Gene::100128429	100128429	LOC100128429		entrez_not_in_current_hgnc
Gene::100128430	100128430	LOC100128430		entrez_not_in_current_hgnc
Gene::100128437	100128437	LOC100128437		entrez_not_in_current_hgnc
Gene::100128498	100128498	LOC100128498		entrez_not_in_current_hgnc
Gene::100128517	100128517	LOC100128517		entrez_not_in_current_hgnc
Gene::100128529	100128529	LOC100128529		entrez_not_in_current_hgnc
Gene::100128551	100128551	LOC100128551		entrez_not_in_current_hgnc
Gene::100128571	100128571	LOC100128571		entrez_not_in_current_hgnc
Gene::100128591	100128591	LOC100128591		entrez_not_in_current_hgnc
Gene::100128651	100128651	LOC100128651		entrez_not_in_current_hgnc
Gene::100128668	100128668	LOC100128668		entrez_not_in_current_hgnc
Gene::100128691	100128691	LOC100128691		entrez_not_in_current_hgnc
Gene::100128697	100128697	LOC100128697		entrez_not_in_current_hgnc
Gene::100128795	100128795	LOC100128795		entrez_not_in_current_hgnc
Gene::100128824	100128824	LOC100128824		entrez_not_in_current_hgnc
Gene::100128851	100128851	LOC100128851		entrez_not_in_current_hgnc
Gene::100128950	100128950	LOC100128950		entrez_not_in_current_hgnc
Gene::100129042	100129042	LOC100129042		entrez_not_in_current_hgnc
Gene::100129069	100129069	LOC100129069		entrez_not_in_current_hgnc
Gene::100129098	100129098	LOC100129098		entrez_not_in_current_hgnc
Gene::100129112	100129112	LOC100129112		entrez_not_in_current_hgnc
Gene::100129115	100129115	LOC100129115		entrez_not_in_current_hgnc
Gene::100129125	100129125	LOC100129125		entrez_not_in_current_hgnc
Gene::100129126	100129126	LOC100129126		entrez_not_in_current_hgnc
Gene::100129171	100129171	LOC100129171		entrez_not_in_current_hgnc
Gene::100129240	100129240	LOC100129240		entrez_not_in_current_hgnc
Gene::100129275	100129275	LOC100129275		entrez_not_in_current_hgnc
Gene::100129280	100129280	LOC100129280		entrez_not_in_current_hgnc
Gene::100129307	100129307	LOC100129307		entrez_not_in_current_hgnc
Gene::100129311	100129311	LOC100129311		entrez_not_in_current_hgnc
Gene::100129322	100129322	LOC100129322		entrez_not_in_current_hgnc
Gene::100129324	100129324	LOC100129324		entrez_not_in_current_hgnc
Gene::100129363	100129363	LOC100129363		entrez_not_in_current_hgnc
Gene::100129380	100129380	LOC100129380		entrez_not_in_current_hgnc
Gene::100129393	100129393	LOC100129393		entrez_not_in_current_hgnc
Gene::100129397	100129397	LOC100129397		entrez_not_in_current_hgnc
Gene::100129399	100129399	LOC100129399		entrez_not_in_current_hgnc
Gene::100129406	100129406	LOC100129406		entrez_not_in_current_hgnc
Gene::100129408	100129408	LOC100129408		entrez_not_in_current_hgnc
Gene::100129447	100129447	LOC100129447		entrez_not_in_current_hgnc
Gene::100129528	100129528	MUC8	MUC8	no_kirc_feature_for_this_gene
Gene::100129572	100129572	LOC100129572		entrez_not_in_current_hgnc
Gene::100129697	100129697	LOC100129697		entrez_not_in_current_hgnc
Gene::100129721	100129721	LOC100129721		entrez_not_in_current_hgnc
Gene::100129763	100129763	LOC100129763		entrez_not_in_current_hgnc
Gene::100129775	100129775	LOC100129775		entrez_not_in_current_hgnc
Gene::100129785	100129785	LOC100129785		entrez_not_in_current_hgnc
Gene::100129840	100129840	LOC100129840		entrez_not_in_current_hgnc
Gene::100129846	100129846	LOC100129846		entrez_not_in_current_hgnc
Gene::100129852	100129852	LOC100129852		entrez_not_in_current_hgnc
