hetionet_gene_id	hetionet_gene_symbol	entrez_id	ensembl_id	gene_symbol
Gene::7105	TSPAN6	7105	ENSG00000000003	TSPAN6
Gene::64102	TNMD	64102	ENSG00000000005	TNMD
Gene::8813	DPM1	8813	ENSG00000000419	DPM1
Gene::57147	SCYL3	57147	ENSG00000000457	SCYL3
Gene::55732	C1orf112	55732	ENSG00000000460	FIRRM
Gene::2268	FGR	2268	ENSG00000000938	FGR
Gene::3075	CFH	3075	ENSG00000000971	CFH
Gene::2519	FUCA2	2519	ENSG00000001036	FUCA2
Gene::2729	GCLC	2729	ENSG00000001084	GCLC
Gene::4800	NFYA	4800	ENSG00000001167	NFYA
Gene::90529	STPG1	90529	ENSG00000001460	STPG1
Gene::57185	NIPAL3	57185	ENSG00000001461	NIPAL3
Gene::81887	LAS1L	81887	ENSG00000001497	LAS1L
Gene::22875	ENPP4	22875	ENSG00000001561	ENPP4
Gene::6405	SEMA3F	6405	ENSG00000001617	SEMA3F
Gene::1080	CFTR	1080	ENSG00000001626	CFTR
Gene::54467	ANKIB1	54467	ENSG00000001629	ANKIB1
Gene::1595	CYP51A1	1595	ENSG00000001630	CYP51A1
Gene::889	KRIT1	889	ENSG00000001631	KRIT1
Gene::5893	RAD52	5893	ENSG00000002016	RAD52
Gene::572	BAD	572	ENSG00000002330	BAD
Gene::51056	LAP3	51056	ENSG00000002549	LAP3
Gene::4267	CD99	4267	ENSG00000002586	CD99
Gene::9957	HS3ST1	9957	ENSG00000002587	HS3ST1
Gene::26	AOC1	26	ENSG00000002726	AOC1
Gene::51384	WNT16	51384	ENSG00000002745	WNT16
Gene::23072	HECW1	23072	ENSG00000002746	HECW1
Gene::8379	MAD1L1	8379	ENSG00000002822	MAD1L1
Gene::3927	LASP1	3927	ENSG00000002834	LASP1
Gene::29916	SNX11	29916	ENSG00000002919	SNX11
Gene::55365	TMEM176A	55365	ENSG00000002933	TMEM176A
Gene::4074	M6PR	4074	ENSG00000003056	M6PR
Gene::90293	KLHL13	90293	ENSG00000003096	KLHL13
Gene::56603	CYP26B1	56603	ENSG00000003137	CYP26B1
Gene::3382	ICA1	3382	ENSG00000003147	ICA1
Gene::79007	DBNDD1	79007	ENSG00000003249	DBNDD1
Gene::57679	ALS2	57679	ENSG00000003393	ALS2
Gene::843	CASP10	843	ENSG00000003400	CASP10
Gene::8837	CFLAR	8837	ENSG00000003402	CFLAR
Gene::7035	TFPI	7035	ENSG00000003436	TFPI
Gene::55471	NDUFAF7	55471	ENSG00000003509	NDUFAF7
Gene::10181	RBM5	10181	ENSG00000003756	RBM5
Gene::9108	MTMR7	9108	ENSG00000003987	MTMR7
Gene::6542	SLC7A2	6542	ENSG00000003989	SLC7A2
Gene::381	ARF5	381	ENSG00000004059	ARF5
Gene::23098	SARM1	23098	ENSG00000004139	SARM1
Gene::26073	POLDIP2	26073	ENSG00000004142	POLDIP2
Gene::23129	PLXND1	23129	ENSG00000004399	PLXND1
Gene::204	AK2	204	ENSG00000004455	AK2
Gene::952	CD38	952	ENSG00000004468	CD38
Gene::2288	FKBP4	2288	ENSG00000004478	FKBP4
Gene::23028	KDM1A	23028	ENSG00000004487	KDM1A
Gene::10180	RBM6	10180	ENSG00000004534	RBM6
