ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000121410	A1BG	1	Gene::1	A1BG	mapped
ENSG00000156006	NAT2	10	Gene::10	NAT2	mapped
ENSG00000196839	ADA	100	Gene::100	ADA	mapped
ENSG00000170558	CDH2	1000	Gene::1000	CDH2	mapped
ENSG00000117020	AKT3	10000	Gene::10000	AKT3	mapped
ENSG00000236362	GAGE12F	100008586	Gene::100008586	GAGE12F	mapped
ENSG00000133997	MED6	10001	Gene::10001	MED6	mapped
ENSG00000278570	NR2E3	10002	Gene::10002	NR2E3	mapped
ENSG00000077616	NAALAD2	10003	Gene::10003	NAALAD2	mapped
ENSG00000282757	DUXB	100033411	Gene::100033411	DUXB	mapped
ENSG00000099974	DDTL	100037417	Gene::100037417	DDTL	mapped
ENSG00000168060	NAALADL1	10004	Gene::10004	NAALADL1	mapped
ENSG00000254415	SIGLEC14	100049587	Gene::100049587	SIGLEC14	mapped
ENSG00000101473	ACOT8	10005	Gene::10005	ACOT8	mapped
ENSG00000136754	ABI1	10006	Gene::10006	ABI1	mapped
ENSG00000113552	GNPDA1	10007	Gene::10007	GNPDA1	mapped
ENSG00000175538	KCNE3	10008	Gene::10008	KCNE3	mapped
ENSG00000177485	ZBTB33	10009	Gene::10009	ZBTB33	mapped
ENSG00000062038	CDH3	1001	Gene::1001	CDH3	mapped
ENSG00000136560	TANK	10010	Gene::10010	TANK	mapped
ENSG00000272391	POM121C	100101267	Gene::100101267	POM121C	mapped
ENSG00000186814	ZSCAN30	100101467	Gene::100101467	ZSCAN30	mapped
ENSG00000213523	SRA1	10011	Gene::10011	SRA1	mapped
ENSG00000205269	TMEM170B	100113407	Gene::100113407	TMEM170B	mapped
ENSG00000220201	ZGLP1	100125288	Gene::100125288	ZGLP1	mapped
ENSG00000186367	MINAR2	100127206	Gene::100127206	KIAA1024L	mapped
ENSG00000253250	C8orf88	100127983	Gene::100127983	C8orf88	mapped
ENSG00000225828	FAM229A	100128071	Gene::100128071	FAM229A	mapped
ENSG00000259658	UBE2Q2P13	100128108	Gene::100128108	LOC100128108	mapped
ENSG00000173626	TRAPPC3L	100128327	Gene::100128327	TRAPPC3L	mapped
ENSG00000149443	SCP2D1-AS1	100128496	Gene::100128496	C20orf78	mapped
ENSG00000288784	CTAGE4	100128553	Gene::100128553	CTAGE4	mapped
ENSG00000183397	TEKTIP1	100128569	Gene::100128569	C19orf71	mapped
ENSG00000228474	OST4	100128731	Gene::100128731	OST4	mapped
ENSG00000260868	LINC01960	100128905	Gene::100128905	LOC100128905	mapped
ENSG00000179627	ZBTB42	100128927	Gene::100128927	ZBTB42	mapped
ENSG00000255441	SIGLEC10-AS1	100129083	Gene::100129083	LOC100129083	mapped
ENSG00000215811	BTNL10P	100129094	Gene::100129094	BTNL10	mapped
ENSG00000256980	KHDC1L	100129128	Gene::100129128	KHDC1L	mapped
ENSG00000225805	DEFB131B	100129216	Gene::100129216	LOC100129216	mapped
ENSG00000224440	CXorf51A	100129239	Gene::100129239	CXorf51A	mapped
ENSG00000198854	KPLCE	100129271	Gene::100129271	C1orf68	mapped
ENSG00000218819	TDRD15	100129278	Gene::100129278	TDRD15	mapped
ENSG00000256537	SMIM10L1	100129361	Gene::100129361	SMIM10L1	mapped
ENSG00000205549	LINC03041	100129385	Gene::100129385	C9orf92	mapped
ENSG00000225526	MKRN2OS	100129480	Gene::100129480	MKRN2OS	mapped
ENSG00000282815	TEX13C	100129520	Gene::100129520	LOC100129520	mapped
ENSG00000183850	ZNF730	100129543	Gene::100129543	ZNF730	mapped
ENSG00000189157	FAM47E	100129583	Gene::100129583	FAM47E	mapped
ENSG00000261787	TCF24	100129654	Gene::100129654	TCF24	mapped
ENSG00000205442	IZUMO3	100129669	Gene::100129669	IZUMO3	mapped
ENSG00000198865	CCDC152	100129792	Gene::100129792	CCDC152	mapped
ENSG00000237440	ZNF737	100129842	Gene::100129842	ZNF737	mapped
ENSG00000274386	TMEM269	100129924	Gene::100129924	LOC100129924	mapped
ENSG00000197301	HMGA2-AS1	100129940	Gene::100129940	LOC100129940	mapped
ENSG00000187791	SPATA31F3	100129969	Gene::100129969	FAM205C	mapped
ENSG00000094631	HDAC6	10013	Gene::10013	HDAC6	mapped
ENSG00000268738	HSFX2	100130086	Gene::100130086	HSFX2	mapped
ENSG00000223519	KIF28P	100130097	Gene::100130097	KIF28P	mapped
ENSG00000255181	CCDC166	100130274	Gene::100130274	CCDC166	mapped
ENSG00000274443	C8orf89	100130301	Gene::100130301	C8orf89	mapped
ENSG00000223731	SUPT20HL1	100130302	Gene::100130302	SUPT20HL1	mapped
ENSG00000205710	C17orf107	100130311	Gene::100130311	C17orf107	mapped
ENSG00000224479	CDHR18P	100130345	Gene::100130345	LOC100130345	mapped
ENSG00000187066	CATSPERH	100130348	Gene::100130348	TMEM262	mapped
ENSG00000215115	CXorf49	100130361	Gene::100130361	CXorf49	mapped
ENSG00000262223	LINC03048	100130370	Gene::100130370	LOC100130370	mapped
ENSG00000196096	SPAG16-DT	100130451	Gene::100130451	LOC100130451	mapped
ENSG00000188051	TMEM221	100130519	Gene::100130519	TMEM221	mapped
ENSG00000284690	CD300H	100130520	Gene::100130520	LOC100130520	mapped
ENSG00000277288	LINC02881	100130539	Gene::100130539	C10orf142	mapped
ENSG00000183631	PRR32	100130613	Gene::100130613	PRR32	mapped
ENSG00000272899	SPMIP1	100130705	Gene::100130705	LOC100130705	mapped
ENSG00000186105	LRRC70	100130733	Gene::100130733	LRRC70	mapped
ENSG00000214954	LRRC69	100130742	Gene::100130742	LRRC69	mapped
ENSG00000231274	SBK3	100130827	Gene::100130827	SBK3	mapped
		100130863	Gene::100130863	ZNF840P	mapped
ENSG00000237243	CREB3L2-AS1	100130880	Gene::100130880	LOC100130880	mapped
ENSG00000279170	TSTD3P	100130890	Gene::100130890	TSTD3	mapped
ENSG00000259120	ERLN	100130933	Gene::100130933	SMIM6	mapped
ENSG00000205078	SYCE1L	100130958	Gene::100130958	SYCE1L	mapped
ENSG00000203711	LINC02901	100130967	Gene::100130967	C6orf99	mapped
ENSG00000164500	SPMIP7	100130988	Gene::100130988	C7orf72	mapped
ENSG00000205903	ZNF316	100131017	Gene::100131017	ZNF316	mapped
ENSG00000205790	DPP9-AS1	100131094	Gene::100131094	DPP9-AS1	mapped
ENSG00000188334	BSPH1	100131137	Gene::100131137	BSPH1	mapped
ENSG00000215845	TSTD1	100131187	Gene::100131187	TSTD1	mapped
ENSG00000189362	NEMP2	100131211	Gene::100131211	NEMP2	mapped
ENSG00000230778	ANKRD63	100131244	Gene::100131244	ANKRD63	mapped
ENSG00000263201	DPEP2NB	100131303	Gene::100131303	LOC100131303	mapped
ENSG00000205177	C11orf91	100131378	Gene::100131378	C11orf91	mapped
ENSG00000217236	SP9	100131390	Gene::100131390	SP9	mapped
ENSG00000204345	CD300LD	100131439	Gene::100131439	CD300LD	mapped
ENSG00000214534	ZNF705EP	100131539	Gene::100131539	ZNF705E	mapped
