context_id	context_name	context_type	n_genes_total	n_genes_kirc	in_subgraph
Biological Process::GO:0001934	positive regulation of protein phosphorylation	Biological Process	999	998	True
Biological Process::GO:0048646	anatomical structure formation involved in morphogenesis	Biological Process	998	998	True
Biological Process::GO:0055114	oxidation-reduction process	Biological Process	999	998	True
Biological Process::GO:0044712	single-organism catabolic process	Biological Process	987	987	True
Biological Process::GO:1902533	positive regulation of intracellular signal transduction	Biological Process	988	987	True
Biological Process::GO:0050776	regulation of immune response	Biological Process	991	986	True
Biological Process::GO:0061024	membrane organization	Biological Process	985	985	True
Biological Process::GO:1901701	cellular response to oxygen-containing compound	Biological Process	975	974	True
Biological Process::GO:0032990	cell part morphogenesis	Biological Process	973	973	True
Biological Process::GO:0009790	embryo development	Biological Process	965	965	True
Biological Process::GO:0032880	regulation of protein localization	Biological Process	967	965	True
Biological Process::GO:0051276	chromosome organization	Biological Process	957	955	True
Biological Process::GO:0048858	cell projection morphogenesis	Biological Process	953	953	True
Biological Process::GO:0019752	carboxylic acid metabolic process	Biological Process	945	943	True
Biological Process::GO:0010243	response to organonitrogen compound	Biological Process	940	940	True
Biological Process::GO:0006468	protein phosphorylation	Biological Process	934	934	True
Biological Process::GO:0022603	regulation of anatomical structure morphogenesis	Biological Process	923	922	True
Biological Process::GO:0044255	cellular lipid metabolic process	Biological Process	921	920	True
Biological Process::GO:0051050	positive regulation of transport	Biological Process	922	920	True
Biological Process::GO:0060548	negative regulation of cell death	Biological Process	923	920	True
Biological Process::GO:0043549	regulation of kinase activity	Biological Process	918	917	True
Biological Process::GO:0044703	multi-organism reproductive process	Biological Process	912	911	True
Biological Process::GO:0007417	central nervous system development	Biological Process	910	910	True
Biological Process::GO:0009057	macromolecule catabolic process	Biological Process	910	910	True
Biological Process::GO:0009887	organ morphogenesis	Biological Process	894	893	True
Biological Process::GO:0007600	sensory perception	Biological Process	891	887	True
Biological Process::GO:1902580	single-organism cellular localization	Biological Process	884	884	True
Biological Process::GO:0032101	regulation of response to external stimulus	Biological Process	884	882	True
Biological Process::GO:0048878	chemical homeostasis	Biological Process	882	880	True
Biological Process::GO:0005975	carbohydrate metabolic process	Biological Process	882	879	True
Biological Process::GO:0002684	positive regulation of immune system process	Biological Process	880	878	True
Biological Process::GO:0009607	response to biotic stimulus	Biological Process	877	875	True
Biological Process::GO:0031175	neuron projection development	Biological Process	872	872	True
Biological Process::GO:0007267	cell-cell signaling	Biological Process	869	869	True
Biological Process::GO:0045859	regulation of protein kinase activity	Biological Process	870	869	True
Biological Process::GO:0016482	cytoplasmic transport	Biological Process	867	867	True
Biological Process::GO:0000904	cell morphogenesis involved in differentiation	Biological Process	861	861	True
Biological Process::GO:0014070	response to organic cyclic compound	Biological Process	861	860	True
Biological Process::GO:0048870	cell motility	Biological Process	860	859	True
Biological Process::GO:0051674	localization of cell	Biological Process	860	859	True
Biological Process::GO:0070647	protein modification by small protein conjugation or removal	Biological Process	858	857	True
Biological Process::GO:0043069	negative regulation of programmed cell death	Biological Process	859	856	True
Biological Process::GO:0043066	negative regulation of apoptotic process	Biological Process	850	847	True
Biological Process::GO:0043207	response to external biotic stimulus	Biological Process	847	845	True
Biological Process::GO:0051707	response to other organism	Biological Process	847	845	True
Biological Process::GO:0007010	cytoskeleton organization	Biological Process	842	841	True
Biological Process::GO:0043086	negative regulation of catalytic activity	Biological Process	840	838	True
Biological Process::GO:0072358	cardiovascular system development	Biological Process	838	838	True
Biological Process::GO:0072359	circulatory system development	Biological Process	838	838	True
Biological Process::GO:0051345	positive regulation of hydrolase activity	Biological Process	837	836	True
Biological Process::GO:0008284	positive regulation of cell proliferation	Biological Process	833	832	True
Biological Process::GO:0033993	response to lipid	Biological Process	833	832	True
Biological Process::GO:0060284	regulation of cell development	Biological Process	832	831	True
Biological Process::GO:0045597	positive regulation of cell differentiation	Biological Process	829	829	True
Biological Process::GO:0070201	regulation of establishment of protein localization	Biological Process	828	826	True
Biological Process::GO:0019637	organophosphate metabolic process	Biological Process	820	820	True
Biological Process::GO:0051093	negative regulation of developmental process	Biological Process	809	807	True
Biological Process::GO:0000278	mitotic cell cycle	Biological Process	805	805	True
Biological Process::GO:0007264	small GTPase mediated signal transduction	Biological Process	805	805	True
Biological Process::GO:0034097	response to cytokine	Biological Process	805	802	True
Biological Process::GO:0070848	response to growth factor	Biological Process	796	796	True
Biological Process::GO:0006935	chemotaxis	Biological Process	795	794	True
Biological Process::GO:0042330	taxis	Biological Process	795	794	True
Biological Process::GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	Biological Process	793	793	True
Biological Process::GO:0044802	single-organism membrane organization	Biological Process	792	792	True
Biological Process::GO:0031347	regulation of defense response	Biological Process	790	788	True
Biological Process::GO:0043408	regulation of MAPK cascade	Biological Process	786	785	True
Biological Process::GO:0034220	ion transmembrane transport	Biological Process	782	782	True
Biological Process::GO:0006812	cation transport	Biological Process	781	781	True
Biological Process::GO:0032504	multicellular organism reproduction	Biological Process	781	780	True
Biological Process::GO:0016477	cell migration	Biological Process	779	778	True
Biological Process::GO:0006366	transcription from RNA polymerase II promoter	Biological Process	776	775	True
Biological Process::GO:0044265	cellular macromolecule catabolic process	Biological Process	774	774	True
Biological Process::GO:0071363	cellular response to growth factor stimulus	Biological Process	771	771	True
Biological Process::GO:0006259	DNA metabolic process	Biological Process	772	769	True
Biological Process::GO:0009611	response to wounding	Biological Process	765	765	True
Biological Process::GO:0006396	RNA processing	Biological Process	760	759	True
Biological Process::GO:0040012	regulation of locomotion	Biological Process	759	759	True
Biological Process::GO:0048609	multicellular organismal reproductive process	Biological Process	758	757	True
Biological Process::GO:0051270	regulation of cellular component movement	Biological Process	757	757	True
Biological Process::GO:0051223	regulation of protein transport	Biological Process	756	754	True
Biological Process::GO:0000122	negative regulation of transcription from RNA polymerase II promoter	Biological Process	749	748	True
Biological Process::GO:0048812	neuron projection morphogenesis	Biological Process	745	745	True
Biological Process::GO:0044403	symbiosis, encompassing mutualism through parasitism	Biological Process	744	744	True
Biological Process::GO:0044419	interspecies interaction between organisms	Biological Process	744	744	True
Biological Process::GO:0051960	regulation of nervous system development	Biological Process	744	744	True
Biological Process::GO:0060322	head development	Biological Process	739	739	True
Biological Process::GO:0019953	sexual reproduction	Biological Process	739	738	True
Biological Process::GO:0006974	cellular response to DNA damage stimulus	Biological Process	737	736	True
Biological Process::GO:0032446	protein modification by small protein conjugation	Biological Process	735	734	True
Biological Process::GO:1903047	mitotic cell cycle process	Biological Process	722	722	True
Biological Process::GO:0048667	cell morphogenesis involved in neuron differentiation	Biological Process	720	720	True
Biological Process::GO:0050878	regulation of body fluid levels	Biological Process	720	720	True
Biological Process::GO:0044087	regulation of cellular component biogenesis	Biological Process	719	719	True
Biological Process::GO:1901137	carbohydrate derivative biosynthetic process	Biological Process	719	718	True
Biological Process::GO:0043603	cellular amide metabolic process	Biological Process	713	712	True
Biological Process::GO:0030162	regulation of proteolysis	Biological Process	708	708	True
Biological Process::GO:0051347	positive regulation of transferase activity	Biological Process	708	708	True
Biological Process::GO:0044764	multi-organism cellular process	Biological Process	702	702	True
Biological Process::GO:2000145	regulation of cell motility	Biological Process	700	700	True
Biological Process::GO:0061564	axon development	Biological Process	699	699	True
Biological Process::GO:0071345	cellular response to cytokine stimulus	Biological Process	702	699	True
Biological Process::GO:0016032	viral process	Biological Process	698	698	True
Biological Process::GO:0007420	brain development	Biological Process	696	696	True
Biological Process::GO:0032870	cellular response to hormone stimulus	Biological Process	695	695	True
Biological Process::GO:0044723	single-organism carbohydrate metabolic process	Biological Process	697	694	True
Biological Process::GO:0051606	detection of stimulus	Biological Process	698	693	True
Biological Process::GO:0051046	regulation of secretion	Biological Process	690	688	True
Biological Process::GO:0019725	cellular homeostasis	Biological Process	687	687	True
Biological Process::GO:0009894	regulation of catabolic process	Biological Process	685	685	True
Biological Process::GO:0008283	cell proliferation	Biological Process	684	684	True
Biological Process::GO:1901699	cellular response to nitrogen compound	Biological Process	684	684	True
Biological Process::GO:0042060	wound healing	Biological Process	681	681	True
Biological Process::GO:0034622	cellular macromolecular complex assembly	Biological Process	680	679	True
Biological Process::GO:0006325	chromatin organization	Biological Process	676	674	True
Biological Process::GO:0007409	axonogenesis	Biological Process	674	674	True
Biological Process::GO:0006886	intracellular protein transport	Biological Process	673	673	True
Biological Process::GO:0001775	cell activation	Biological Process	668	667	True
Biological Process::GO:0030334	regulation of cell migration	Biological Process	661	661	True
Biological Process::GO:0008285	negative regulation of cell proliferation	Biological Process	659	655	True
Biological Process::GO:0050767	regulation of neurogenesis	Biological Process	655	655	True
Biological Process::GO:0022411	cellular component disassembly	Biological Process	644	644	True
Biological Process::GO:0080135	regulation of cellular response to stress	Biological Process	645	644	True
Biological Process::GO:0040008	regulation of growth	Biological Process	641	641	True
Biological Process::GO:0030155	regulation of cell adhesion	Biological Process	636	634	True
Biological Process::GO:0033674	positive regulation of kinase activity	Biological Process	632	632	True
Biological Process::GO:0071417	cellular response to organonitrogen compound	Biological Process	632	632	True
Biological Process::GO:1903530	regulation of secretion by cell	Biological Process	633	631	True
Biological Process::GO:0031400	negative regulation of protein modification process	Biological Process	630	629	True
Biological Process::GO:0003006	developmental process involved in reproduction	Biological Process	628	628	True
Biological Process::GO:0098609	cell-cell adhesion	Biological Process	626	626	True
Biological Process::GO:0010942	positive regulation of cell death	Biological Process	624	624	True
Biological Process::GO:0009792	embryo development ending in birth or egg hatching	Biological Process	622	622	True
Biological Process::GO:0043009	chordate embryonic development	Biological Process	616	616	True
Biological Process::GO:0007005	mitochondrion organization	Biological Process	616	615	True
Biological Process::GO:0016567	protein ubiquitination	Biological Process	615	614	True
Biological Process::GO:0032386	regulation of intracellular transport	Biological Process	614	614	True
Biological Process::GO:0045596	negative regulation of cell differentiation	Biological Process	614	612	True
Biological Process::GO:0002520	immune system development	Biological Process	608	608	True
Biological Process::GO:0051129	negative regulation of cellular component organization	Biological Process	608	608	True
Biological Process::GO:0071900	regulation of protein serine/threonine kinase activity	Biological Process	608	608	True
Biological Process::GO:0045860	positive regulation of protein kinase activity	Biological Process	607	607	True
Biological Process::GO:0035295	tube development	Biological Process	604	604	True
Biological Process::GO:0043410	positive regulation of MAPK cascade	Biological Process	602	601	True
Biological Process::GO:1901652	response to peptide	Biological Process	601	601	True
Biological Process::GO:0007276	gamete generation	Biological Process	599	598	True
Biological Process::GO:0043269	regulation of ion transport	Biological Process	592	592	True
Biological Process::GO:0043068	positive regulation of programmed cell death	Biological Process	591	591	True
Biological Process::GO:0016071	mRNA metabolic process	Biological Process	589	588	True
Biological Process::GO:0043065	positive regulation of apoptotic process	Biological Process	586	586	True
Biological Process::GO:0048729	tissue morphogenesis	Biological Process	583	583	True
Biological Process::GO:0030001	metal ion transport	Biological Process	579	579	True
Biological Process::GO:0050778	positive regulation of immune response	Biological Process	581	579	True
Biological Process::GO:0048534	hematopoietic or lymphoid organ development	Biological Process	578	578	True
Biological Process::GO:0001817	regulation of cytokine production	Biological Process	579	577	True
Biological Process::GO:0031329	regulation of cellular catabolic process	Biological Process	576	576	True
Biological Process::GO:0050801	ion homeostasis	Biological Process	575	575	True
Biological Process::GO:0048598	embryonic morphogenesis	Biological Process	573	573	True
Biological Process::GO:0098660	inorganic ion transmembrane transport	Biological Process	570	570	True
Biological Process::GO:0030163	protein catabolic process	Biological Process	569	569	True
Biological Process::GO:0043434	response to peptide hormone	Biological Process	567	567	True
Biological Process::GO:0097485	neuron projection guidance	Biological Process	567	567	True
Biological Process::GO:0007411	axon guidance	Biological Process	566	566	True
Biological Process::GO:0046903	secretion	Biological Process	565	565	True
Biological Process::GO:0033365	protein localization to organelle	Biological Process	564	564	True
