context_id	context_name	context_type	n_genes_total	n_genes_kirc	in_subgraph
Pathway::PC7_7439	Signaling Pathways	Pathway	1956	1948	True
Pathway::PC7_5322	Metabolism	Pathway	1564	1561	True
Pathway::PC7_3278	Disease	Pathway	1253	1251	True
Pathway::PC7_4112	Gene Expression	Pathway	1142	1140	True
Pathway::PC7_4688	Immune System	Pathway	1134	1125	True
Pathway::PC7_7457	Signaling by GPCR	Pathway	1013	1007	True
Pathway::PC7_4043	GPCR downstream signaling	Pathway	898	893	True
Pathway::PC7_5330	Metabolism of proteins	Pathway	683	682	True
Pathway::PC7_8339	Transmembrane transport of small molecules	Pathway	606	606	True
Pathway::PC7_1563	Adaptive Immune System	Pathway	607	601	True
Pathway::PC7_4741	Innate Immune System	Pathway	577	572	True
Pathway::PC7_5326	Metabolism of lipids and lipoproteins	Pathway	569	569	True
Pathway::PC7_2519	Cell Cycle	Pathway	544	542	True
Pathway::PC7_4449	Hemostasis	Pathway	506	506	True
Pathway::PC7_3084	Developmental Biology	Pathway	494	494	True
Pathway::PC7_2521	Cell Cycle, Mitotic	Pathway	473	471	True
Pathway::PC7_4116	Generic Transcription Pathway	Pathway	458	458	True
Pathway::PC7_4044	GPCR ligand binding	Pathway	440	437	True
Pathway::PC7_6044	Olfactory Signaling Pathway	Pathway	357	354	True
Pathway::PC7_5530	Mitotic M-M/G1 phases	Pathway	329	327	True
Pathway::PC7_1863	Axon guidance	Pathway	324	324	True
Pathway::PC7_7484	Signaling by Wnt	Pathway	317	315	True
Pathway::PC7_2620	Class A/1 (Rhodopsin-like receptors)	Pathway	313	311	True
Pathway::PC7_5049	M Phase	Pathway	295	293	True
Pathway::PC7_7463	Signaling by NGF	Pathway	286	286	True
Pathway::PC7_5887	Neuronal System	Pathway	279	279	True
Pathway::PC7_2907	Cytokine Signaling in Immune system	Pathway	280	278	True
Pathway::PC7_6540	Post-translational protein modification	Pathway	269	268	True
Pathway::PC7_5324	Metabolism of RNA	Pathway	266	266	True
Pathway::PC7_3777	Extracellular matrix organization	Pathway	264	264	True
Pathway::PC7_2532	Cellular responses to stress	Pathway	264	261	True
Pathway::PC7_7290	SLC-mediated transmembrane transport	Pathway	260	260	True
Pathway::PC7_2500	Carbohydrate metabolism	Pathway	259	259	True
Pathway::WP455_r81793	GPCRs, Class A Rhodopsin-like	Pathway	258	257	True
Pathway::PC7_2623	Class I MHC mediated antigen processing & presentation	Pathway	252	252	True
Pathway::PC7_7483	Signaling by WNT in cancer	Pathway	249	247	True
Pathway::PC7_3992	G alpha (i) signalling events	Pathway	235	234	True
Pathway::PC7_8317	Transcription	Pathway	231	229	True
Pathway::PC7_6815	RNF mutants show enhanced WNT signaling and proliferation	Pathway	227	225	True
Pathway::PC7_6512	Platelet activation, signaling and aggregation	Pathway	221	221	True
Pathway::PC7_5327	Metabolism of mRNA	Pathway	219	219	True
Pathway::PC7_4365	HIV Infection	Pathway	216	216	True
Pathway::PC7_7784	TCF dependent signaling in response to WNT	Pathway	218	216	True
Pathway::PC7_2570	Chromatin modifying enzymes	Pathway	217	215	True
Pathway::PC7_4107	Gastrin-CREB signalling pathway via PKC and MAPK	Pathway	215	214	True
Pathway::PC7_1672	Antigen processing: Ubiquitination & Proteasome degradation	Pathway	208	208	True
Pathway::PC7_5772	NGF signalling via TRKA from the plasma membrane	Pathway	206	206	True
Pathway::WP3594_r84573	Circadian rythm related genes	Pathway	201	201	True
Pathway::PC7_8340	Transmission across Chemical Synapses	Pathway	200	200	True
Pathway::PC7_1877	B Cell Activation	Pathway	195	194	True
Pathway::WP2377_r80437	Integrated Pancreatic Cancer Pathway	Pathway	191	191	True
Pathway::PC7_5307	Membrane Trafficking	Pathway	190	190	True
