node_id	node_name	node_kind
Gene::55100	WDR70	Gene
Gene::1901	S1PR1	Gene
Pathway::PC7_4888	Klotho-mediated ligand binding	Pathway
Gene::219287	AMER2	Gene
Disease::DOID:1024	leprosy	Disease
Gene::1769	DNAH8	Gene
Gene::254228	FAM26E	Gene
Gene::4832	NME3	Gene
Gene::140687	GCNT7	Gene
Gene::158056	MAMDC4	Gene
Gene::240	ALOX5	Gene
Gene::86614	HSFY1	Gene
Gene::390790	ARL5C	Gene
Gene::64092	SAMSN1	Gene
Gene::374378	GALNT18	Gene
Pathway::PC7_1655	Amyloids	Pathway
Gene::5232	PGK2	Gene
Gene::285590	SH3PXD2B	Gene
Pathway::PC7_2670	Collagen formation	Pathway
Gene::5336	PLCG2	Gene
Gene::3309	HSPA5	Gene
Gene::10553	HTATIP2	Gene
Gene::199	AIF1	Gene
Gene::5196	PF4	Gene
Gene::26157	GIMAP2	Gene
Gene::805	CALM2	Gene
Gene::4212	MEIS2	Gene
Pathway::PC7_4271	Glycoprotein hormones	Pathway
Gene::5499	PPP1CA	Gene
Gene::112616	CMTM7	Gene
Gene::1327	COX4I1	Gene
Gene::5146	PDE6C	Gene
Gene::4833	NME4	Gene
Gene::8452	CUL3	Gene
Gene::55295	KLHL26	Gene
Gene::345757	FAM174A	Gene
Gene::6492	SIM1	Gene
Gene::51411	BIN2	Gene
Pathway::PC7_6592	Processing of DNA ends prior to end rejoining	Pathway
Pathway::PC7_6310	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation	Pathway
Gene::1605	DAG1	Gene
Gene::5272	SERPINB9	Gene
Gene::689	BTF3	Gene
Gene::23382	AHCYL2	Gene
Gene::1036	CDO1	Gene
Gene::1952	CELSR2	Gene
Gene::3738	KCNA3	Gene
Gene::23306	NEMP1	Gene
Gene::11315	PARK7	Gene
Gene::51503	CWC15	Gene
Gene::10905	MAN1A2	Gene
Gene::3475	IFRD1	Gene
Gene::11226	GALNT6	Gene
Gene::54979	HRASLS2	Gene
Gene::285605	DTWD2	Gene
